App No,Type,App Date,Status,FRU Interview Scheduled,Drug Test,WAV Course,Defensive Driving,Driver Exam,Medical Clearance Form,Other Requirements,Last Updated
6015561,HDR,12/22/2022,Denied,Not Applicable,Needed,Complete,Needed,Complete,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6025282,HDR,04/07/2023,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6024237,HDR,03/29/2023,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6020603,HDR,02/21/2023,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,04/10/2023 05:00:04 PM
6024405,HDR,03/30/2023,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6014863,HDR,12/14/2022,Denied,Not Applicable,Complete,Complete,Needed,Complete,Complete,Copy of DMV license & other items. Visit www.nyc.gov/tlcup,04/10/2023 05:00:04 PM
6022838,HDR,03/15/2023,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Complete,Fingerprints needed,04/10/2023 05:00:04 PM
6023183,HDR,03/18/2023,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Complete,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6024281,HDR,03/29/2023,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,04/10/2023 05:00:04 PM
6020522,HDR,02/20/2023,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,04/10/2023 05:00:04 PM
6018284,HDR,01/24/2023,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Copy of DMV license & other items. Visit www.nyc.gov/tlcup,04/10/2023 05:00:04 PM
6022481,HDR,03/12/2023,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,04/10/2023 05:00:04 PM
6017432,HDR,01/15/2023,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,04/10/2023 05:00:04 PM
6024456,HDR,03/31/2023,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Copy of DMV license needed,04/10/2023 05:00:04 PM
6019757,HDR,02/10/2023,Incomplete,Not Applicable,Complete,Needed,Complete,Complete,Needed,Not Applicable,04/10/2023 05:00:04 PM
6017424,HDR,01/15/2023,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,04/10/2023 05:00:04 PM
6020594,HDR,02/20/2023,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,04/10/2023 05:00:04 PM
6021821,HDR,03/06/2023,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed,04/10/2023 05:00:04 PM
6023182,HDR,03/18/2023,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Not Applicable,04/10/2023 05:00:04 PM
6025329,HDR,04/07/2023,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed,04/10/2023 05:00:04 PM
6023421,HDR,03/21/2023,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Fingerprints needed,04/10/2023 05:00:04 PM
6025515,HDR,04/10/2023,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6023368,HDR,03/20/2023,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,04/10/2023 05:00:04 PM
6019318,HDR,02/06/2023,Pending Fitness Interview,04/13/2023,Complete,Complete,Complete,Complete,Complete,Not Applicable,04/10/2023 05:00:04 PM
6018617,HDR,01/27/2023,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,04/10/2023 05:00:04 PM
6019465,HDR,02/07/2023,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,04/10/2023 05:00:04 PM
6023587,HDR,03/23/2023,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Complete,Fingerprints needed,04/10/2023 05:00:04 PM
6020000,HDR,02/14/2023,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6025390,HDR,04/08/2023,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6022743,HDR,03/14/2023,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Not Applicable,04/10/2023 05:00:04 PM
6023446,HDR,03/21/2023,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed,04/10/2023 05:00:04 PM
6023807,HDR,03/25/2023,Incomplete,Not Applicable,Needed,Complete,Needed,Complete,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6024384,HDR,03/30/2023,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6025284,HDR,04/07/2023,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed,04/10/2023 05:00:04 PM
6024109,HDR,03/28/2023,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Not Applicable,04/10/2023 05:00:04 PM
6021674,HDR,03/03/2023,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,04/10/2023 05:00:04 PM
6021514,HDR,03/02/2023,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,04/10/2023 05:00:04 PM
6017056,HDR,01/11/2023,Incomplete,Not Applicable,Needed,Complete,Complete,Complete,Complete,Fingerprints needed,04/10/2023 05:00:04 PM
6022189,HDR,03/09/2023,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Fingerprints needed,04/10/2023 05:00:04 PM
6024567,HDR,04/01/2023,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Complete,Not Applicable,04/10/2023 05:00:04 PM
6019624,HDR,02/09/2023,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,04/10/2023 05:00:04 PM
6021754,HDR,03/05/2023,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed,04/10/2023 05:00:04 PM
6017147,HDR,01/11/2023,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed,04/10/2023 05:00:04 PM
6023125,HDR,03/17/2023,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed,04/10/2023 05:00:04 PM
6021125,HDR,02/27/2023,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6017706,HDR,01/18/2023,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,04/10/2023 05:00:04 PM
6021262,HDR,02/28/2023,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Needed,Copy of DMV license needed,04/10/2023 05:00:04 PM
6022267,HDR,03/10/2023,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Complete,Not Applicable,04/10/2023 05:00:04 PM
6022042,HDR,03/07/2023,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Complete,Not Applicable,04/10/2023 05:00:04 PM
6025038,HDR,04/05/2023,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Copy of DMV license needed,04/10/2023 05:00:04 PM
6020957,HDR,02/24/2023,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6021988,HDR,03/07/2023,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,04/10/2023 05:00:04 PM
6024137,HDR,03/28/2023,Incomplete,Not Applicable,Needed,Complete,Complete,Complete,Complete,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6024221,HDR,03/29/2023,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Complete,Not Applicable,04/10/2023 05:00:04 PM
6023008,HDR,03/16/2023,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,04/10/2023 05:00:04 PM
6024812,HDR,04/03/2023,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6024419,HDR,03/30/2023,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Not Applicable,04/10/2023 05:00:04 PM
6016346,HDR,01/03/2023,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,04/10/2023 05:00:04 PM
6022560,HDR,03/13/2023,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed,04/10/2023 05:00:04 PM
6023415,HDR,03/21/2023,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,04/10/2023 05:00:04 PM
6024693,HDR,04/03/2023,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed,04/10/2023 05:00:04 PM
6020804,HDR,02/23/2023,Incomplete,Not Applicable,Needed,Needed,Complete,Complete,Needed,Fingerprints needed,04/10/2023 05:00:04 PM
6023656,PDR,03/23/2023,Incomplete,Not Applicable,Not Applicable,Not Applicable,Complete,Not Applicable,Not Applicable,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6023117,HDR,03/17/2023,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6020656,HDR,02/21/2023,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,04/10/2023 05:00:04 PM
6016723,HDR,01/06/2023,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,04/10/2023 05:00:04 PM
6020373,HDR,02/17/2023,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,04/10/2023 05:00:04 PM
6022665,HDR,03/14/2023,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,04/10/2023 05:00:04 PM
6024470,HDR,03/31/2023,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6024678,HDR,04/03/2023,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Not Applicable,04/10/2023 05:00:04 PM
6022563,HDR,03/13/2023,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,04/10/2023 05:00:04 PM
6023201,HDR,03/19/2023,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,04/10/2023 05:00:04 PM
6023639,HDR,03/23/2023,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6016823,HDR,01/09/2023,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,04/10/2023 05:00:04 PM
6022442,HDR,03/11/2023,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Needed,Not Applicable,04/10/2023 05:00:04 PM
6021041,HDR,02/25/2023,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Needed,Not Applicable,04/10/2023 05:00:04 PM
6023328,HDR,03/20/2023,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Complete,Fingerprints needed,04/10/2023 05:00:04 PM
6021220,HDR,02/27/2023,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,04/10/2023 05:00:04 PM
6024557,HDR,04/01/2023,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6022063,HDR,03/07/2023,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Not Applicable,04/10/2023 05:00:04 PM
6022782,HDR,03/15/2023,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6019653,HDR,02/09/2023,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Not Applicable,04/10/2023 05:00:04 PM
6020907,HDR,02/23/2023,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,04/10/2023 05:00:04 PM
6024245,HDR,03/29/2023,Incomplete,Not Applicable,Complete,Complete,Needed,Complete,Complete,Copy of DMV license needed,04/10/2023 05:00:04 PM
6022452,HDR,03/11/2023,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,04/10/2023 05:00:04 PM
6020845,HDR,02/23/2023,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,04/10/2023 05:00:04 PM
6024463,HDR,03/31/2023,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Fingerprints needed,04/10/2023 05:00:04 PM
6021063,HDR,02/25/2023,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,04/10/2023 05:00:04 PM
6025420,HDR,04/09/2023,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6023003,HDR,03/16/2023,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Fingerprints needed,04/10/2023 05:00:04 PM
6017840,HDR,01/19/2023,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6017347,HDR,01/13/2023,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6022568,HDR,03/13/2023,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,04/10/2023 05:00:04 PM
6021258,HDR,02/28/2023,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,04/10/2023 05:00:04 PM
6023833,HDR,03/25/2023,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6022473,HDR,03/12/2023,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,04/10/2023 05:00:04 PM
6020541,HDR,02/20/2023,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6023849,HDR,03/26/2023,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Not Applicable,04/10/2023 05:00:04 PM
6023460,HDR,03/21/2023,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6023988,HDR,03/27/2023,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Complete,Not Applicable,04/10/2023 05:00:04 PM
6021681,HDR,03/04/2023,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed,04/10/2023 05:00:04 PM
6024698,HDR,04/03/2023,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6019002,HDR,02/02/2023,Incomplete,Not Applicable,Complete,Complete,Needed,Complete,Needed,Not Applicable,04/10/2023 05:00:04 PM
6016899,HDR,01/09/2023,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Not Applicable,04/10/2023 05:00:04 PM
6025428,HDR,04/09/2023,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed,04/10/2023 05:00:04 PM
6023180,HDR,03/18/2023,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6022224,HDR,03/09/2023,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Not Applicable,04/10/2023 05:00:04 PM
6023254,HDR,03/20/2023,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Complete,Fingerprints needed,04/10/2023 05:00:04 PM
6023376,HDR,03/20/2023,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Copy of DMV license needed,04/10/2023 05:00:04 PM
6022126,HDR,03/08/2023,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,04/10/2023 05:00:04 PM
6016692,HDR,01/06/2023,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,04/10/2023 05:00:04 PM
6017388,HDR,01/14/2023,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed,04/10/2023 05:00:04 PM
6018240,HDR,01/24/2023,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,04/10/2023 05:00:04 PM
6021423,HDR,03/01/2023,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,04/10/2023 05:00:04 PM
6022010,HDR,03/07/2023,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,04/10/2023 05:00:04 PM
6019080,HDR,02/02/2023,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6018683,HDR,01/29/2023,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,04/10/2023 05:00:04 PM
6022769,HDR,03/15/2023,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,04/10/2023 05:00:04 PM
6018716,HDR,01/29/2023,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6020841,HDR,02/23/2023,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,04/10/2023 05:00:04 PM
6024142,HDR,03/28/2023,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Open items needed. Visit www.nyc.gov/tlcup for more information,04/10/2023 05:00:04 PM
6023725,HDR,03/24/2023,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6019676,HDR,02/10/2023,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed,04/10/2023 05:00:04 PM
6025396,HDR,04/08/2023,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6021802,HDR,03/06/2023,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6024825,HDR,04/03/2023,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Fingerprints needed,04/10/2023 05:00:04 PM
6017517,HDR,01/16/2023,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,04/10/2023 05:00:04 PM
6021529,HDR,03/02/2023,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6022614,HDR,03/13/2023,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Complete,Not Applicable,04/10/2023 05:00:04 PM
6023146,HDR,03/18/2023,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,04/10/2023 05:00:04 PM
6018482,HDR,01/26/2023,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6025384,HDR,04/08/2023,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6015997,HDR,12/29/2022,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,04/10/2023 05:00:04 PM
6024247,HDR,03/29/2023,Incomplete,Not Applicable,Complete,Needed,Complete,Complete,Complete,Not Applicable,04/10/2023 05:00:04 PM
6021381,HDR,03/01/2023,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Not Applicable,04/10/2023 05:00:04 PM
6020175,HDR,02/15/2023,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,04/10/2023 05:00:04 PM
6019215,HDR,02/04/2023,Incomplete,Not Applicable,Complete,Needed,Complete,Complete,Complete,Not Applicable,04/10/2023 05:00:04 PM
6020724,HDR,02/22/2023,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,04/10/2023 05:00:04 PM
6013869,HDR,12/02/2022,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,04/10/2023 05:00:04 PM
6021202,HDR,02/27/2023,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Not Applicable,04/10/2023 05:00:04 PM
6017476,HDR,01/16/2023,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Not Applicable,04/10/2023 05:00:04 PM
6025079,HDR,04/05/2023,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed,04/10/2023 05:00:04 PM
6022716,HDR,03/14/2023,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,04/10/2023 05:00:04 PM
6024831,HDR,04/03/2023,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6023990,HDR,03/27/2023,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6023876,HDR,03/26/2023,Incomplete,Not Applicable,Needed,Needed,Complete,Complete,Complete,Not Applicable,04/10/2023 05:00:04 PM
6024288,HDR,03/29/2023,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Copy of DMV license needed,04/10/2023 05:00:04 PM
6017601,HDR,01/17/2023,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Not Applicable,04/10/2023 05:00:04 PM
6023418,HDR,03/21/2023,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,04/10/2023 05:00:04 PM
6020753,HDR,02/22/2023,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed,04/10/2023 05:00:04 PM
6017120,HDR,01/11/2023,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Fingerprints needed,04/10/2023 05:00:04 PM
6018800,HDR,01/30/2023,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Complete,Fingerprints needed,04/10/2023 05:00:04 PM
6023382,HDR,03/21/2023,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Needed,Not Applicable,04/10/2023 05:00:04 PM
6020886,HDR,02/23/2023,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,04/10/2023 05:00:04 PM
6024870,HDR,04/04/2023,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6020568,HDR,02/20/2023,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,04/10/2023 05:00:04 PM
6015834,HDR,12/27/2022,Denied,Not Applicable,Complete,Complete,Needed,Needed,Complete,Copy of DMV license needed,04/10/2023 05:00:04 PM
6024280,HDR,03/29/2023,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Complete,Fingerprints needed,04/10/2023 05:00:04 PM
6020623,HDR,02/21/2023,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed,04/10/2023 05:00:04 PM
6025033,HDR,04/05/2023,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Fingerprints needed,04/10/2023 05:00:04 PM
6021856,HDR,03/06/2023,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,04/10/2023 05:00:04 PM
6023211,HDR,03/19/2023,Incomplete,Not Applicable,Needed,Complete,Complete,Complete,Complete,Fingerprints needed,04/10/2023 05:00:04 PM
6018554,HDR,01/27/2023,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6025357,HDR,04/07/2023,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6024108,HDR,03/28/2023,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Complete,Fingerprints needed,04/10/2023 05:00:04 PM
6016402,HDR,01/04/2023,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6016860,HDR,01/09/2023,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Not Applicable,04/10/2023 05:00:04 PM
6019703,HDR,02/10/2023,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,04/10/2023 05:00:04 PM
6024133,HDR,03/28/2023,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6024437,HDR,03/31/2023,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,04/10/2023 05:00:04 PM
6024225,HDR,03/29/2023,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6017992,HDR,01/21/2023,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Open items needed. Visit www.nyc.gov/tlcup for more information,04/10/2023 05:00:04 PM
6017573,HDR,01/17/2023,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Open items needed. Visit www.nyc.gov/tlcup for more information,04/10/2023 05:00:04 PM
6023792,HDR,03/25/2023,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed,04/10/2023 05:00:04 PM
6021968,HDR,03/07/2023,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Not Applicable,04/10/2023 05:00:04 PM
6020455,HDR,02/18/2023,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,04/10/2023 05:00:04 PM
6014561,HDR,12/10/2022,Denied,Not Applicable,Complete,Complete,Needed,Needed,Complete,Copy of DMV license needed,04/10/2023 05:00:04 PM
6024106,HDR,03/28/2023,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6022788,HDR,03/15/2023,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6025223,HDR,04/06/2023,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6025227,HDR,04/06/2023,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6019906,HDR,02/13/2023,Pending Fitness Interview,04/11/2023,Complete,Complete,Complete,Complete,Complete,Not Applicable,04/10/2023 05:00:04 PM
